ASN,latitude,longitude
9824,40.7655,-111.884
9829,38.3361,-77.4982
9830,39.2073,-79.6933
9831,39.2979,-76.6167
9837,37.7879,-122.392
9848,32.8857,-85.1613
9853,38.1639,-121.696
9908,33.749,-84.388
9916,68.3478,-166.808
9919,38.6931,-90.4395
9924,41.8781,-87.6298
9929,30.3084,-97.8276
9930,38.775,-95.1864
9931,38.247,-85.7597
9943,38.8092,-76.8988
9976,41.0602,-111.971
10013,41.8781,-87.6298
10026,43.6423,-72.2518
10029,26.3082,-98.174
10036,37.5579,-122.273
10052,33.749,-84.388
10077,40.7415,-74.0034
10091,28.3466,-81.4022
10098,39.6246,-104.883
10101,40.815,-96.7942
10139,41.2541,-81.4792
10154,42.6494,-73.7511
10197,39.9323,-85.848
10201,45.3575,-84.2239
10204,32.994,-96.6599
10223,39.5995,-94.9496
10271,42.0931,-71.7461
10292,32.9597,-97.0254
10297,40.083,-82.9384
10311,21.3069,-157.858
10316,33.749,-84.388
10318,26.1224,-80.1373
10343,38.7012,-90.3623
10421,33.5779,-101.855
10429,40.7357,-74.1724
10430,47.9466,-124.384
10437,42.7261,-87.7829
10439,47.6257,-122.547
10442,44.6748,-72.9216
10464,40.8144,-96.7773
10473,25.7824,-80.1931
10481,44.5192,-88.0198
10507,39.1155,-94.6268
10530,38.9536,-94.7336
10532,41.457,-72.8231
10552,47.6845,-122.139
10565,41.1888,-74.5041
10598,35.2271,-80.8431
10620,39.1546,-122.149
10683,41.9809,-87.8656
10692,45.5946,-121.179
10694,40.1083,-83.7511
10701,44.2911,-105.502
10704,41.876,-87.6324
10736,34.6884,-99.912
10738,38.6832,-90.403
10745,28.7549,-81.3319
10753,21.3091,-157.861
10754,41.8781,-87.6298
10755,36.0775,-115.069
10763,40.6675,-74.2776
10788,43.0062,-89.4254
10790,40.759,-73.9793
10794,47.8165,-118.905
10796,20.8733,-156.463
10823,35.9452,-86.8081
10834,40.7828,-74.4263
10837,39.6258,-104.897
10838,47.6137,-122.338
10843,35.0547,-78.8827
10849,47.6115,-122.341
10882,42.4684,-76.479
10884,42.478,-96.1835
10910,39.1472,-94.581
10912,48.5126,-122.613
10913,38.1074,-122.57
10933,35.9684,-83.918
10938,35.1951,-106.585
10950,32.9001,-105.952
10965,33.8229,-84.3686
10966,39.0247,-77.4137
10970,40.8169,-96.7007
10978,30.3322,-81.6556
10994,46.2305,-119.092
11022,39.5469,-76.3153
11023,35.9991,-86.5912
11040,38.627,-90.1994
11051,38.9504,-77.4212
11060,41.1961,-73.4311
11062,40.7655,-89.4677
11071,34.0522,-118.244
11078,41.6511,-72.6764
11103,32.7767,-96.797
11106,25.8215,-80.3262
11111,33.6846,-117.827
11115,42.2952,-85.6669
11146,35.4882,-82.5581
11172,39.3214,-84.4433
11175,41.8781,-87.6298
11184,44.9752,-93.2705
11232,36.5697,-115.671
11257,34.0474,-118.256
11266,34.0479,-118.255
11274,41.684,-91.5055
11279,47.7359,-122.647
11290,38.2103,-85.5479
11303,36.0792,-83.9235
11305,33.9486,-86.4724
11329,30.246,-87.7008
11339,41.4054,-73.4301
11351,47.674,-122.122
11383,37.7983,-122.396
11398,38.8026,-116.419
11403,37.7972,-122.432
11414,45.4967,-122.706
11421,41.9111,-91.654
11426,34.0457,-117.547
11427,34.0549,-118.243
11440,43.155,-77.6189
11442,33.749,-84.388
11456,43.0481,-76.1474
11457,40.7177,-74.0083
11473,40.7363,-84.1634
11478,47.5991,-122.335
11479,26.2019,-98.2316
11486,45.5445,-122.879
11492,45.5051,-122.675
11499,33.6605,-117.768
11509,34.0204,-118.454
11530,41.6825,-86.1926
11532,40.7128,-74.006
11537,42.2338,-83.7289
11556,41.8781,-87.6298
11563,21.3091,-157.861
11565,38.272,-122.664
11588,37.481,-122.152
11590,42.8847,-85.6173
11604,45.5051,-122.675
11608,38.3553,-87.5675
11625,40.7127,-74.0134
11634,38.9646,-92.2963
11643,37.2944,-121.93
11646,38.9072,-77.0369
11664,41.5747,-81.5199
11669,43.1412,-88.0028
11683,29.7232,-95.5098
11686,34.7698,-84.9702
11700,33.5576,-101.943
11707,37.7749,-122.419
11734,38.6293,-90.1972
11736,39.1443,-77.4144
11739,34.7805,-92.4656
11743,44.98,-93.2638
11745,43.2232,-71.5306
11771,45.5051,-122.675
11776,47.979,-122.202
11790,41.9108,-87.9179
11814,39.1898,-106.818
11817,40.9305,-73.1138
11819,29.7604,-95.3698
11829,38.8397,-77.4335
11834,38.8943,-77.0484
11840,39.0438,-77.4874
11845,33.6129,-111.912
11892,41.8781,-87.6298
11908,41.7983,-88.107
11913,40.3641,-111.739
11921,37.4192,-122.088
11922,47.6062,-122.332
11939,27.7745,-82.6334
11941,33.749,-84.388
11944,37.5024,-122.471
11955,34.0549,-118.243
11995,33.993,-81.0286
12006,42.6403,-71.1872
12021,45.3296,-118.095
12066,40.3369,-104.912
12079,37.761,-121.968
12111,44.0563,-121.318
12129,34.0522,-118.244
12131,33.9691,-117.623
12147,33.7807,-118.103
12156,34.1345,-118.042
12167,37.9762,-87.5793
12168,64.8555,-147.683
12173,34.0295,-118.476
12179,37.7845,-122.397
12180,37.5585,-122.28
12181,39.9356,-91.4099
12182,37.6303,-122.422
12188,47.6176,-122.2
12217,34.0232,-84.3616
12222,34.0522,-118.244
12251,46.875,-96.9004
12252,44.7029,-122.848
12257,35.8698,-78.8464
12260,38.9557,-94.7533
12262,44.4559,-73.2179
12270,34.1847,-103.337
12271,39.6002,-104.89
12293,33.1314,-117.279
12297,37.7334,-88.3425
12302,43.418,-83.9659
12306,44.7978,-106.955
12312,37.5274,-122.261
12322,40.6739,-79.6858
12334,32.7872,-96.7942
12337,28.7692,-81.3621
12338,44.9688,-89.6688
12350,40.9714,-82.1099
12357,32.7206,-117.164
12363,30.2732,-81.6139
12386,34.2319,-86.1663
12390,45.5135,-122.676
12392,40.4738,-88.9531
12406,40.7201,-74.0047
12420,44.4661,-73.214
12424,27.7453,-82.7545
12430,42.2884,-84.3092
12437,33.749,-84.388
12479,39.6248,-79.9635
12486,38.6293,-90.1973
12501,42.3082,-75.3979
